Feature type,Primary DBID,Systematic Name,SGD Alias,Description,Standard Name,Chromosome,Start,End,Strand
ORF,S000001422,YIL160C,acetyl-CoA C-acyltransferase|FOX3|POX3,3-ketoacyl-CoA thiolase with broad chain length specificity; cleaves 3-ketoacyl-CoA into acyl-CoA and acetyl-CoA during beta-oxidation of fatty acids,POT1,chrIX,40191,41444,-1
ORF,S000000469,YBR265W,3-dehydrosphinganine reductase,3-ketosphinganine reductase; catalyzes the second step in phytosphingosine synthesis; essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine; localized to lipid droplets; member of short chain dehydrogenase/reductase protein family; mutations in human homolog KDSR cause recessive progressive symmetric erythrokeratoderma,TSC10,chrII,738582,739544,1
ORF,S000004090,YLR100W,3-keto-steroid reductase,3-keto sterol reductase; catalyzes last of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; Erg27 protein is mainly ER-localized in strains devoid of mtDNA (rho° cells); mutants are sterol auxotrophs; mutation is functionally complemented by human HSD17B7,ERG27,chrXII,341810,342853,1
ORF,S000000944,YER142C,DNA-3-methyladenine glycosylase II|MMS5,"3-methyl-adenine DNA glycosylase; initiates base excision repair (BER) by removing damaged bases to create abasic sites that are subsequently repaired; expansion of BER repair removes alkylated bases resulting from alkylating agent-induced DNA damage, compensating for the lack of DNA repair by oxidative dealkylation; protein abundance increases in response to DNA replication stress",MAG1,chrV,455146,456036,-1
ORF,S000005511,YOL151W,methylglyoxal reductase (NADPH-dependent) GRE2,"3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway; restores resistance to glycolaldehyde by coupling reduction of glycolaldehyde to ethylene glycol and oxidation of NADPH to NADP+; protein abundance increases in response to DNA replication stress; methylglyoxal reductase (NADPH-dependent) is also known as D-lactaldehyde dehydrogenase",GRE2,chrXV,43694,44722,1
ORF,S000006371,YPR167C,phosphoadenylyl-sulfate reductase (thioredoxin),"3'-phosphoadenylsulfate reductase; reduces 3'-phosphoadenylyl sulfate to adenosine-3',5'-bisphosphate and free sulfite using reduced thioredoxin as cosubstrate, involved in sulfate assimilation and methionine metabolism",MET16,chrXVI,876847,877632,-1
ORF,S000001336,YIL074C,phosphoglycerate dehydrogenase SER33,"3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER33 has a paralog, SER3, that arose from the whole genome duplication",SER33,chrIX,221081,222490,-1
ORF,S000000883,YER081W,phosphoglycerate dehydrogenase SER3,"3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER3 has a paralog, SER33, that arose from the whole genome duplication",SER3,chrV,322686,324095,1
ORF,S000000605,YCR012W,phosphoglycerate kinase,"3-phosphoglycerate kinase; catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis",PGK1,chrIII,137746,138996,1
ORF,S000005710,YOR184W,ADE9|O-phospho-L-serine:2-oxoglutarate transaminase,"3-phosphoserine aminotransferase; catalyzes the formation of phosphoserine from 3-phosphohydroxypyruvate, required for serine and glycine biosynthesis; regulated by the general control of amino acid biosynthesis mediated by Gcn4p; protein abundance increases in response to DNA replication stress",SER1,chrXV,679357,680544,1
ORF,S000000985,YER183C,5-formyltetrahydrofolate cyclo-ligase,"5,10-methenyltetrahydrofolate synthetase; involved in folic acid biosynthesis",FAU1,chrV,553334,553969,-1
ORF,S000005559,YOR033C,DHS1|Rad2 family nuclease EXO1,"5'-3' exonuclease and flap-endonuclease; involved in recombination, double-strand break repair, MMS2 error-free branch of the post replication (PRR) pathway and DNA mismatch repair; role in telomere maintenance; member of the Rad2p nuclease family, with conserved N and I nuclease domains; relative distribution to the nucleus increases upon DNA replication stress; EXO1 has a paralog, DIN7, that arose from the whole genome duplication",EXO1,chrXV,392416,394524,-1
ORF,S000002640,YDR232W,5-aminolevulinate synthase|CYD1|OLE3,5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p,HEM1,chrIV,927452,929098,1
ORF,S000000025,YAL027W,DNA-binding protein SAW1,5'- and 3'-flap DNA binding protein; required for recruitment of Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; forms a complex with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus,SAW1,chrI,94687,95472,1
ORF,S000000446,YBR242W,5'-deoxynucleotidase|YB92,"5'-deoxynucleotidase involved in deoxyribonucleoside monophosphate degradation; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; non-essential gene; YBR242W has a paralog, YGL101W, that arose from the whole genome duplication",,chrII,704670,705386,1
ORF,S000003069,YGL101W,5'-deoxynucleotidase,"5'-deoxynucleotidase; non-essential gene involved in deoxyribonucleoside monophosphate degradation; interacts with the DNA helicase Hpr5p; YGL101W has a paralog, YBR242W, that arose from the whole genome duplication",YGK1,chrVII,312193,312840,1
ORF,S000002820,YDR412W,,"5' exoribonuclease required for 5' end processing of pre-60S rRNA; binds late pre-60S ribosomes, accompanying them from nucleolus to nuclear periphery; required for cell viability under standard (aerobic) conditions but not under anaerobic conditions; yeast null mutant is complemented by expression of human homolog NOL12",RRP17,chrIV,1294693,1295400,1
ORF,S000006322,YPR118W,S-methyl-5-thioribose-1-phosphate isomerase MRI1,5'-methylthioribose-1-phosphate isomerase; catalyzes the isomerization of 5-methylthioribose-1-phosphate to 5-methylthioribulose-1-phosphate in the methionine salvage pathway,MRI1,chrXVI,767752,768987,1
ORF,S000003785,YJR024C,methylthioribulose 1-phosphate dehydratase MDE1,5'-methylthioribulose-1-phosphate dehydratase; acts in the methionine salvage pathway; potential Smt3p sumoylation substrate; expression downregulated by caspofungin and deletion mutant is caspofungin resistant,MDE1,chrX,470230,470964,-1
ORF,S000001698,YKL215C,5-oxoprolinase,5-oxoprolinase; enzyme is ATP-dependent and functions as a dimer; similar to mouse Oplah gene; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; protein abundance increases in response to DNA replication stress,OXP1,chrXI,26827,30687,-1
ORF,S000001003,YHL011C,ribose phosphate diphosphokinase subunit PRS3,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes",PRS3,chrVIII,80654,81616,-1
ORF,S000005422,YOL061W,ribose phosphate diphosphokinase subunit PRS5,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress",PRS5,chrXV,212244,213734,1
ORF,S000000901,YER099C,ribose phosphate diphosphokinase subunit PRS2,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; PRS2 has a paralog, PRS4, that arose from the whole genome duplication",PRS2,chrV,358105,359061,-1
ORF,S000000164,YBL068W,ribose phosphate diphosphokinase subunit PRS4,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP; which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; PRS4 has a paralog, PRS2, that arose from the whole genome duplication; a missense mutation in the conserved residue R196 of its human homolog PRPS1 is pathogenic",PRS4,chrII,92414,93394,1
ORF,S000001664,YKL181W,PRP1|ribose phosphate diphosphokinase subunit PRS1,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; plays a key role in cell wall integrity (CWI) pathway; one of five related enzymes, which are active as heteromultimeric complexes; missense mutations in human homolog PRPS1 are associated with neuropathic Arts syndrome and Charcot-Marie Tooth (CMTX5) disease",PRS1,chrXI,107316,108599,1
ORF,S000000973,YER171W,REM1|TFIIH/NER complex ATP-dependent 5'-3' DNA helicase subunit RAD3,5' to 3' DNA helicase; involved in nucleotide excision repair and transcription; subunit of RNA polII initiation factor TFIIH and of Nucleotide Excision Repair Factor 3 (NEF3); homolog of human XPD protein; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress,RAD3,chrV,527082,529418,1
ORF,S000001596,YKL113C,ERC11|FEN1|multifunctional nuclease RAD27|RTH1,"5' to 3' exonuclease, 5' flap endonuclease; required for Okazaki fragment processing and maturation, for long-patch base-excision repair and large loop repair (LLR), ribonucleotide excision repair; cleaves off RNA flap in a RNA:DNA hybrid intermediate during processing of DNA lagging strand; relocalizes to the cytosol in response to hypoxia; member of the S. pombe RAD2/FEN1 family",RAD27,chrXI,224727,225875,-1
ORF,S000005496,YOL136C,6-phosphofructo-2-kinase|PFK-2,"6-phosphofructo-2-kinase; catalyzes synthesis of fructose-2,6-bisphosphate; inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate, expression induced by glucose and sucrose, transcriptional regulation involves protein kinase A",PFK27,chrXV,67561,68754,-1
ORF,S000001369,YIL107C,6-phosphofructo-2-kinase|PFK2|PFK-2,"6-phosphofructo-2-kinase; inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate; has negligible fructose-2,6-bisphosphatase activity; transcriptional regulation involves protein kinase A",PFK26,chrIX,163278,165761,-1
ORF,S000001226,YHR183W,phosphogluconate dehydrogenase (decarboxylating) GND1,"6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress; GND1 has a paralog, GND2, that arose from the whole genome duplication",GND1,chrVIII,470960,472429,1
ORF,S000003488,YGR256W,phosphogluconate dehydrogenase (decarboxylating) GND2,"6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone; GND2 has a paralog, GND1, that arose from the whole genome duplication",GND2,chrVII,1004624,1006102,1
ORF,S000001206,YHR163W,6-phosphogluconolactonase SOL3,"6-phosphogluconolactonase; catalyzes the second step of the pentose phosphate pathway; weak multicopy suppressor of los1-1 mutation; homologous to Sol2p and Sol1p; SOL3 has a paralog, SOL4, that arose from the whole genome duplication",SOL3,chrVIII,423724,424473,1
ORF,S000003480,YGR248W,6-phosphogluconolactonase SOL4,"6-phosphogluconolactonase; protein abundance increases in response to DNA replication stress; SOL4 has a paralog, SOL3, that arose from the whole genome duplication",SOL4,chrVII,985972,986739,1
ORF,S000005306,YNR023W,SWP73,"73 kDa subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; relocates to the cytosol under hypoxic conditions; deletion mutants are temperature-sensitive; SNF12 has a paralog, RSC6, that arose from the whole genome duplication",SNF12,chrXIV,670418,672118,1
ORF,S000005341,YNR058W,adenosylmethionine-8-amino-7-oxononanoate transaminase,"7,8-diamino-pelargonic acid aminotransferase (DAPA); catalyzes the second step in the biotin biosynthesis pathway; BIO3 is in a cluster of 3 genes (BIO3, BIO4, and BIO5) that mediate biotin synthesis; BIO3 and BIO4 were acquired by horizontal gene transfer (HGT) from bacteria",BIO3,chrXIV,734291,735733,1
ORF,S000003903,YJR142W,,8-oxo-dGTP diphosphatase of the Nudix hydrolase family; converts diphosphates of damaged forms of thiamin to monophosphates; GST fusion protein is a Dbf2p-Mob1p phosphorylation target in a proteome chip analysis; synthetic lethal with PH085 deletion; plays a role in restricting Ty1 transposition,,chrX,697141,698169,1
ORF,S000004141,YLR151C,8-oxo-dGTP diphosphatase,"8-oxo-dGTP diphosphatase; prevents spontaneous mutagenesis via sanitization of oxidized purine nucleoside triphosphates; can also act as peroxisomal pyrophosphatase with specificity for coenzyme A and CoA derivatives, may function to remove potentially toxic oxidized CoA disulfide from peroxisomes to maintain the capacity for beta-oxidation of fatty acids; nudix hydrolase family member; similar E. coli MutT and human, rat and mouse MTH1",PCD1,chrXII,441715,442737,-1
ORF,S000000284,YBR080C,AAA family ATPase SEC18|ANU4,"AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)",SEC18,chrII,398614,400890,-1
ORF,S000006377,YPR173C,AAA family ATPase VPS4|CSC1|DID6|END13|GRD13|VPL4|VPT10,AAA-ATPase involved in multivesicular body (MVB) protein sorting; ATP-bound Vps4p localizes to endosomes and catalyzes ESCRT-III disassembly and membrane release; ATPase activity is activated by Vta1p; regulates cellular sterol metabolism,VPS4,chrXVI,886524,887837,-1
ORF,S000002284,YDL126C,AAA family ATPase CDC48,"AAA ATPase with protein-unfoldase activity; subunit of polyUb-selective segregase complex involved in ERAD, INM-associated degradation (INMAD), mitotic spindle disassembly, macroautophagy, PMN, ribosome-associated degradation, ribophagy, homotypic ER membrane fusion, SCF complex disassembly, cell wall integrity, and telomerase regulation; mobilizes membrane-anchored transcription factors by regulated Ub/proteasome-dependent processing (RUP); human ortholog VCP complements a cdc48 mutant",CDC48,chrIV,236157,238664,-1
ORF,S000005273,YNL329C,AAA family ATPase peroxin 6|PAS8,AAA-peroxin; heterodimerizes with AAA-peroxin Pex1p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; mutations in human PEX6 can lead to severe peroxisomal disorders and early death,PEX6,chrXIV,19541,22633,-1
ORF,S000001680,YKL197C,AAA family ATPase peroxin 1|PAS1,AAA-peroxin; heterodimerizes with AAA-peroxin Pex6p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; induced by oleic acid and upregulated during anaerobiosis; mutations in human PEX1 can lead to severe peroxisomal disorders and early death,PEX1,chrXI,70734,73865,-1
ORF,S000003938,YLL015W,ATP-binding cassette bilirubin transporter BPT1,"ABC type transmembrane transporter of MRP/CFTR family; found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal detoxification via glutathione conjugates, along with Ycf1p",BPT1,chrXII,116432,121111,1
ORF,S000002279,YDL121C,,A cargo receptor protein for Pma1p; works with Psg1p to promote the transport and maturation of Pma1p; localizes to the ER and COPII vesicles; a non-essential protein,EXP1,chrIV,245133,245582,-1
ORF,S000003772,YJR011C,,Accessory component of the Ccr4-NOT complex; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS,CAL4,chrX,458641,459426,-1
ORF,S000001401,YIL139C,,"Accessory subunit of DNA polymerase zeta; involved in translesion synthesis during post-replication repair; required for mutagenesis induced by DNA damage; involved in double-strand break repair; may be involved in meiosis; forms a complex with Rev3p, Pol31p and Pol32p",REV7,chrIX,87979,88716,-1
ORF,S000000603,YCR010C,ATO1,"Acetate transporter required for normal sporulation; phosphorylated in mitochondria; ADY2 has a paralog, ATO2, that arose from the whole genome duplication",ADY2,chrIII,132273,133124,-1
